target_code;target_content;thematic_area;sub_theme;justification
TA4.1;Reduce the average CO2 emissions of new heavy-duty motor vehicles by 90% by 2040;TA4_Sustainable and smart mobility;Transport Emissions Reduction;This target is assigned to Transport Emissions Reduction as it aims to reduce CO2 emissions from heavy-duty motor vehicles.
TA4.2;Increase the share of alternative fuels in the transport sector to at least 24% by 2030;TA4_Sustainable and smart mobility;Alternative Fuels;This target is assigned to Alternative Fuels as it aims to increase the share of alternative fuels in the transport sector.
TA4.3;Deploy at least 3 million public charging points for electric vehicles by 2030;TA4_Sustainable and smart mobility;Electric Vehicle Charging;This target is assigned to Electric Vehicle Charging as it aims to increase the number of public charging points for electric vehicles.
TA4.4;Increase the share of sustainable aviation fuels in the aviation sector to at least 2% by 2025;TA4_Sustainable and smart mobility;Sustainable Aviation Fuels;This target is assigned to Sustainable Aviation Fuels as it aims to increase the share of sustainable aviation fuels in the aviation sector.
TA4.5;Reduce the emissions from the maritime transport sector by 50% by 2050;TA4_Sustainable and smart mobility;Maritime Emissions Reduction;This target is assigned to Maritime Emissions Reduction as it aims to reduce emissions from the maritime transport sector.
TA5.1;Reduce the use of chemical pesticides by 50% by 2030;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Sustainable Agriculture;This target is assigned to Sustainable Agriculture as it aims to reduce the use of chemical pesticides.
TA5.2;Increase the share of organic farming to at least 25% by 2030;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Organic Farming;This target is assigned to Organic Farming as it aims to increase the share of organic farming.
TA5.3;Reduce the generation of food waste by 30% by 2025;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Food Waste Reduction;This target is assigned to Food Waste Reduction as it aims to reduce food waste generation.
TA5.4;Increase the use of recycled materials in packaging to 30% by 2030;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Sustainable Packaging;This target is assigned to Sustainable Packaging as it aims to increase the use of recycled materials in packaging.
TA6.1;Protect at least 30% of the EU’s land area and 30% of the EU’s sea area by 2030;TA6_Preserving and protecting biodiversity;Habitat Protection;This target is assigned to Habitat Protection as it aims to protect a significant portion of the EU's land and sea area.
TA6.2;Restore at least 25,000 km of free-flowing rivers by 2030;TA6_Preserving and protecting biodiversity;River Restoration;This target is assigned to River Restoration as it aims to restore free-flowing rivers.
TA6.3;Plant at least 3 billion additional trees by 2030;TA6_Preserving and protecting biodiversity;Reforestation;This target is assigned to Reforestation as it aims to plant additional trees.
TA6.4;Reduce the use of chemical pesticides by 50% by 2030;TA6_Preserving and protecting biodiversity;Sustainable Agriculture;This target is assigned to Sustainable Agriculture as it aims to reduce the use of chemical pesticides.
TA6.5;Increase the share of organic farming to at least 25% by 2030;TA6_Preserving and protecting biodiversity;Organic Farming;This target is assigned to Organic Farming as it aims to increase the share of organic farming.
TA7.1;Reduce the number of premature deaths caused by air pollution by 55% by 2030;TA7_Towards a zero-pollution ambition for a toxic free environment;Air Pollution Reduction;This target is assigned to Air Pollution Reduction as it aims to reduce premature deaths caused by air pollution.
TA7.2;Reduce the concentration of microplastics in the environment by 30% by 2030;TA7_Towards a zero-pollution ambition for a toxic free environment;Microplastics Reduction;This target is assigned to Microplastics Reduction as it aims to reduce the concentration of microplastics in the environment.
TA7.3;Reduce the share of people chronically disturbed by transport noise by 30% by 2030;TA7_Towards a zero-pollution ambition for a toxic free environment;Noise Pollution Reduction;This target is assigned to Noise Pollution Reduction as it aims to reduce the share of people chronically disturbed by transport noise.
TA7.4;Reduce the generation of waste by 50% by 2030;TA7_Towards a zero-pollution ambition for a toxic free environment;Waste Reduction;This target is assigned to Waste Reduction as it aims to reduce waste generation.
TA7.5;Increase the recycling rate of municipal waste to 65% by 2030;TA7_Towards a zero-pollution ambition for a toxic free environment;Waste Recycling;This target is assigned to Waste Recycling as it aims to increase the recycling rate of municipal waste.
