target_code;target_content;thematic_area;sub_theme;justification
TA6.51;Member States shall achieve an increasing trend at national level of at least six out of seven of the following indicators in forest ecosystems;TA6_Preserving and protecting biodiversity;Terrestrial Ecosystems Restoration - Forests;This target is assigned to the sub-theme "Terrestrial Ecosystems Restoration - Forests" because it focuses on promoting sustainable forest management.
TA6.52;Member States shall achieve an increasing trend at national level of the common forest bird index;TA6_Preserving and protecting biodiversity;Terrestrial Ecosystems Restoration - Forests;This target is assigned to the sub-theme "Terrestrial Ecosystems Restoration - Forests" because it focuses on restoring forest bird populations.
TA6.54;Promoting the sustainable forest bioeconomy for long-lived wood products;TA6_Preserving and protecting biodiversity;Forest Bioeconomy;This target is assigned to the sub-theme "Forest Bioeconomy" because it focuses on promoting sustainable forest bioeconomy.
TA6.55;Ensuring sustainable use of wood-based resources for bioenergy;TA6_Preserving and protecting biodiversity;Forest Bioeconomy;This target is assigned to the sub-theme "Forest Bioeconomy" because it focuses on promoting sustainable use of wood-based resources.
TA6.56;Promoting non-wood forest-based bioeconomy, including ecotourism;TA6_Preserving and protecting biodiversity;Forest Bioeconomy;This target is assigned to the sub-theme "Forest Bioeconomy" because it focuses on promoting non-wood forest-based bioeconomy.
TA6.57;Developing skills and empowering people for sustainable forest-based bioeconomy;TA6_Preserving and protecting biodiversity;Forest Bioeconomy;This target is assigned to the sub-theme "Forest Bioeconomy" because it focuses on promoting sustainable forest-based bioeconomy.
TA6.58;Protecting EU’s last remaining primary and old-growth forests;TA6_Preserving and protecting biodiversity;Terrestrial Ecosystems Restoration - Forests;This target is assigned to the sub-theme "Terrestrial Ecosystems Restoration - Forests" because it focuses on protecting primary and old-growth forests.
TA6.59;Ensuring forest restoration and reinforced sustainable forest management for climate adaptation and forest resilience;TA6_Preserving and protecting biodiversity;Terrestrial Ecosystems Restoration - Forests;This target is assigned to the sub-theme "Terrestrial Ecosystems Restoration - Forests" because it focuses on promoting forest restoration and sustainable management.
TA6.60;Providing financial incentives for forest owners and managers for improving the quantity and quality of EU forests;TA6_Preserving and protecting biodiversity;Forest Bioeconomy;This target is assigned to the sub-theme "Forest Bioeconomy" because it focuses on promoting sustainable forest management.
TA6.62;Reach no net land take;TA6_Preserving and protecting biodiversity;Terrestrial Ecosystems Restoration;This target is assigned to the sub-theme "Terrestrial Ecosystems Restoration" because it focuses on promoting sustainable land use.
TA6.63;Restore degraded land and soil, including land affected by desertification, drought and floods;TA6_Preserving and protecting biodiversity;Terrestrial Ecosystems Restoration;This target is assigned to the sub-theme "Terrestrial Ecosystems Restoration" because it focuses on restoring degraded land and soil.
TA6.7;By 2030, significant areas of degraded and carbon-rich ecosystems are restored;TA6_Preserving and protecting biodiversity;Terrestrial Ecosystems Restoration;This target is assigned to the sub-theme "Terrestrial Ecosystems Restoration" because it focuses on restoring degraded ecosystems.
TA6.8;The decline of pollinators is reversed;TA6_Preserving and protecting biodiversity;Biodiversity Protection & Conservation;This target is assigned to the sub-theme "Biodiversity Protection & Conservation" because it focuses on reversing the decline of pollinators.
TA6.9;The risk and use of chemical pesticides is reduced by 50%, and the use of more hazardous pesticides is reduced by 50%;TA6_Preserving and protecting biodiversity;Pesticides Reduction;This target is assigned to the sub-theme "Pesticides Reduction" because it focuses on reducing the use of chemical pesticides.
TA7.1;The obligation to set up urban wastewater collecting systems is extended to all agglomerations with a p.e. of 1.000 or more;TA7_Towards a zero-pollution ambition for a toxic free environment;Improve Water Quality;This target is assigned to the sub-theme "Improve Water Quality" because it focuses on promoting urban wastewater collection.
TA7.10;Improve soil quality by reducing nutrient losses and chemical pesticides’ use by 50%;TA7_Towards a zero-pollution ambition for a toxic free environment;Improve Soils Health;This target is assigned to the sub-theme "Improve Soils Health" because it focuses on improving soil quality.
TA7.11;Improve soil quality by reducing nutrient losses and chemical pesticides’ use by 50%;TA7_Towards a zero-pollution ambition for a toxic free environment;Improve Water Quality;This target is assigned to the sub-theme "Improve Water Quality" because it focuses on reducing nutrient losses and chemical pesticides.
TA7.12;Develop measures to significantly increase efforts to identify, investigate, assess and remediate contaminated sites;TA7_Towards a zero-pollution ambition for a toxic free environment;Improve Soils Health;This target is assigned to the sub-theme "Improve Soils Health" because it focuses on remediating contaminated sites.
TA7.13;Improve air quality to reduce the number of premature deaths caused by air pollution by 55%;TA7_Towards a zero-pollution ambition for a toxic free environment;Improve Air Quality;This target is assigned to the sub-theme "Improve Air Quality" because it focuses on improving air quality.
TA7.14;Improve water quality by reducing waste, plastic litter at sea and microplastics released into the environment;TA7_Towards a zero-pollution ambition for a toxic free environment;Improve Water Quality;This target is assigned to the sub-theme "Improve Water Quality" because it focuses on improving water quality.
TA7.15;Improve water quality by reducing waste, plastic litter at sea and microplastics released into the environment;TA7_Towards a zero-pollution ambition for a toxic free environment;Improve Water Quality;This target is assigned to the sub-theme "Improve Water Quality" because it focuses on improving water quality.
TA7.16;Reduce by 25% the EU ecosystems where air pollution threatens biodiversity;TA7_Towards a zero-pollution ambition for a toxic free environment;Improve Air Quality;This target is assigned to the sub-theme "Improve Air Quality" because it focuses on reducing air pollution.
TA7.17;Reduce the share of people chronically disturbed by transport noise by 30%;TA7_Towards a zero-pollution ambition for a toxic free environment;Noise Reduction;This target is assigned to the sub-theme "Noise Reduction" because it focuses on reducing transport noise.
TA7.18;Reduce significantly total waste generation and by 50% residual municipal waste;TA7_Towards a zero-pollution ambition for a toxic free environment;Waste Reduction - Municipal Waste;This target is assigned to the sub-theme "Waste Reduction - Municipal Waste" because it focuses on reducing waste generation.
TA7.19;Improve soil quality by reducing nutrient losses and chemical pesticides’ use by 50%;TA7_Towards a zero-pollution ambition for a toxic free environment;Improve Soils Health;This target is assigned to the sub-theme "Improve Soils Health" because it focuses on improving soil quality.
TA7.2;Establish locally integrated urban wastewater management plans;TA7_Towards a zero-pollution ambition for a toxic free environment;Improve Water Quality;This target is assigned to the sub-theme "Improve Water Quality" because it focuses on promoting urban wastewater management.
TA7.20;Having all soils in healthy condition by 2050;TA7_Towards a zero-pollution ambition for a toxic free environment;Improve Soils Health;This target is assigned to the sub-theme "Improve Soils Health" because it focuses on promoting healthy soils.
TA7.21;Minimise or eliminate the use of pesticides in sensitive areas;TA7_Towards a zero-pollution ambition for a toxic free environment;Pesticides Reduction;This target is assigned to the sub-theme "Pesticides Reduction" because it focuses on reducing pesticide use in sensitive areas.
TA7.22;The revision of the Ambient Air Quality Directives would merge the Directives into one;TA7_Towards a zero-pollution ambition for a toxic free environment;Improve Air Quality;This target is assigned to the sub-theme "Improve Air Quality" because it focuses on improving air quality.
TA7.23;Remove micropollutants from wastewater;TA7_Towards a zero-pollution ambition for a toxic free environment;Improve Water Quality;This target is assigned to the sub-theme "Improve Water Quality" because it focuses on removing micropollutants from wastewater.
TA7.24;Improve nutrient removal from wastewater;TA7_Towards a zero-pollution ambition for a toxic free environment;Improve Water Quality;This target is assigned to the sub-theme "Improve Water Quality" because it focuses on improving nutrient removal from wastewater.
TA7.3;Member States will be required to improve and maintain access to sanitation for all;TA7_Towards a zero-pollution ambition for a toxic free environment;Social Security - Sanitation;This target is assigned to the sub-theme "Social Security - Sanitation" because it focuses on promoting access to sanitation.
TA7.4;Member States shall take the measures necessary to ensure that water intended for human consumption is wholesome and clean;TA7_Towards a zero-pollution ambition for a toxic free environment;Improve Water Quality;This target is assigned to the sub-theme "Improve Water Quality" because it focuses on ensuring clean drinking water.
TA7.5;The Ambient Air Quality Directives set EU air quality standards;TA7_Towards a zero-pollution ambition for a toxic free environment;Improve Air Quality;This target is assigned to the sub-theme "Improve Air Quality" because it focuses on setting air quality standards.
TA7.7;Reach good chemical and quantitative status in groundwaters and surfacewaters;TA7_Towards a zero-pollution ambition for a toxic free environment;Improve Water Quality;This target is assigned to the sub-theme "Improve Water Quality" because it focuses on promoting good chemical and quantitative status in water.
