TA7.14;Reduce the share of people chronically disturbed by transport noise by 30%, by 2030;TA2.17;A target of 15% electricity interconnection for 2030;+;1;The reduction of transport noise will help to minimize the environmental impacts of transport activities, making it more feasible to achieve the electricity interconnection targets.
TA2.41;Member States are required to achieve cumulative end-use energy savings from 2021 to 2030, equivalent to new annual savings of at least 0.8% of final energy consumption in 2021-2023, at least 1.3% in 2024-2025, 1.5% in 2026-2027 and 1.9% in 2028-2030. Directive (EU) 2023/1791;TA7.9;Improve air quality to reduce the number of premature deaths caused by air pollution by 55% by 2030;+;2;The reduction of energy consumption will help to minimize the environmental impacts of energy production, making it more feasible to achieve the air quality targets.
TA2.21;Member States shall ensure that the total final energy consumption of all public bodies combined is reduced by at least 1.9% each year, when compared to 2021;TA7.4;The Industrial Emissions Directive (IED) aims at preventing or reducing emissions from large industrial installations and intensive farming into the environment.;+;1;The reduction of energy consumption will help to minimize the environmental impacts of public activities, making it more feasible to achieve the emissions reduction targets.
TA2.22;Member States shall collectively ensure a reduction of energy consumption of at least 11.7% in 2030 compared to the projections of the 2020 EU Reference Scenario;TA7.13;Reduce by 25% the EU ecosystems where air pollution threatens biodiversity, by 2030;+;2;The reduction of energy consumption will help to minimize the environmental impacts of energy production, making it more feasible to achieve the biodiversity targets.
TA2.23;Member States shall make efforts to collectively contribute to the indicative Union primary energy consumption target amounting to no more than 992.5 Mtoe in 2030;TA7.6;Improve soil quality by reducing chemical pesticides’ use by 50%, by 2030;+;1;The reduction of primary energy consumption will help to minimize the environmental impacts of energy production, making it more feasible to achieve the soil quality targets.
TA2.25;Reduce buildings’ final energy consumption by 14%;TA7.8;Improve soil quality by reducing nutrient losses use by 50%, by 2030;+;1;The reduction of energy consumption will help to minimize the environmental impacts of agricultural activities, making it more feasible to achieve the soil quality targets.
TA2.26;At least double the annual energy renovation rate of residential and non-residential buildings by 2030;TA7.15;Having all soils in healthy condition by 2050;+;2;The improvement of building energy efficiency will help to minimize the environmental impacts of building activities, making it more feasible to achieve the soil health targets.
TA2.24;Each Member State shall ensure that at least 3% of the total floor area of heated and/or cooled buildings is renovated each year to be transformed into at least nearly zero-energy buildings;TA7.5;The revised Urban Wastewater Treatment Directive (UWWTD) extends the scope of the 1991 UWWTD;+;1;The reduction of wastewater emissions will help to minimize the environmental impacts of urban activities, making it more feasible to achieve the wastewater treatment targets.
TA2.28;Reduce buildings’ energy consumption for heating and cooling by 18% compared to 2015 levels by 2030;TA7.10;Improve water quality by reducing waste, plastic litter at sea (by 50%);+;2;The reduction of energy consumption will help to minimize the environmental impacts of building activities, making it more feasible to achieve the water quality targets.
TA2.29;Member states will have to renovate 16% of worst-performing non-residential buildings by 2030;TA7.11;Improve water quality by reducing microplastics released into the environment (by 30%);+;1;The reduction of microplastics will help to minimize the environmental impacts of non-residential activities, making it more feasible to achieve the water quality targets.
TA2.4;Double the current deployment rate of individual heat pumps, resulting in a cumulative 10 million units by 2027 and 30 million units by 2030;TA7.16;By means of an updated and harmonised list of pollutants affecting surface and groundwater, updated existing quality standards, new monitoring requirements, improved and more accessible data, and a more flexible framework for addressing pollutants of emerging concerns;+;2;The increase of renewable energy sources will help to minimize the environmental impacts of energy production, making it more feasible to achieve the water quality targets.
TA2.17;A target of 15% electricity interconnection for 2030;TA7.14;Reduce the share of people chronically disturbed by transport noise by 30%, by 2030;+;1;The increase of electricity interconnection will help to minimize the environmental impacts of transport activities, making it more feasible to achieve the noise reduction targets.
TA2.10;Member States shall set an indicative target for innovative renewable energy technology of at least 5% of newly installed renewable energy capacity by 2030;TA7.4;The Industrial Emissions Directive (IED) aims at preventing or reducing emissions from large industrial installations and intensive farming into the environment.;+;1;The increase of innovative renewable energy technologies will help to minimize the environmental impacts of industrial activities, making it more feasible to achieve the emissions reduction targets.
TA2.13;The amount of renewable fuels and renewable electricity supplied to the transport sector leads to a: (i) share of renewable energy within the final consumption of energy in the transport sector of at least 29 % by 2030;TA7.9;Improve air quality to reduce the number of premature deaths caused by air pollution by 55% by 2030;+;2;The increase of renewable energy sources will help to minimize the environmental impacts of transport activities, making it more feasible to achieve the air quality targets.
TA2.15;By 2022, achieve 18% of the total increase in the share of energy from renewable sources between that Member State’s binding 2020 national target, and its contribution to the 2030 target;TA7.13;Reduce by 25% the EU ecosystems where air pollution threatens biodiversity, by 2030;+;1;The increase of renewable energy sources will help to minimize the environmental impacts of energy production, making it more feasible to achieve the biodiversity targets.
TA2.16;Member States shall endeavour to increase the share of renewable sources in the amount of energy sources used for final energy and non-energy purposes in the industry sector by an indicative increase of at least 1.6 percentage points;TA7.6;Improve soil quality by reducing chemical pesticides’ use by 50%, by 2030;+;1;The increase of renewable energy sources will help to minimize the environmental impacts of industrial activities, making it more feasible to achieve the soil quality targets.
TA2.9;Member States shall collectively ensure that the share of energy from renewable sources in the Union’s gross final consumption of energy in 2030 is at least 42.5%;TA7.15;Having all soils in healthy condition by 2050;+;2;The increase of renewable energy sources will help to minimize the environmental impacts of energy production, making it more feasible to achieve the soil health targets.
TA2.2;Set up at least one renewables-based energy community in every municipality with a population higher than 10.000 by 2025;TA7.5;The revised Urban Wastewater Treatment Directive (UWWTD) extends the scope of the 1991 UWWTD;+;1;The increase of renewable energy sources will help to minimize the environmental impacts of urban activities, making it more feasible to achieve the wastewater treatment targets.
TA2.37;By 2030, the share of renewable energy in the electricity mix should double to 55-60%;TA7.10;Improve water quality by reducing waste, plastic litter at sea (by 50%);+;2;The increase of renewable energy sources will help to minimize the environmental impacts of energy production, making it more feasible to achieve the water quality targets.
TA2.14;Each Member State shall increase the share of renewable energy in the heating and cooling sector by at least 0.8 percentage points as an annual average calculated for the period 2021 to 2025;TA7.11;Improve water quality by reducing microplastics released into the environment (by 30%);+;1;The increase of renewable energy sources will help to minimize the environmental impacts of heating and cooling activities, making it more feasible to achieve the water quality targets.
TA2.18;Indicative target of at least a 49% share of energy from renewable sources in the building sector in the Union’s final energy consumption in buildings in 2030;TA7.4;The Industrial Emissions Directive (IED) aims at preventing or reducing emissions from large industrial installations and intensive farming into the environment.;+;1;The increase of renewable energy sources will help to minimize the environmental impacts of building activities, making it more feasible to achieve the emissions reduction targets.
TA2.6;Energy demand to be covered by solar heat and geothermal should at least triple;TA7.9;Improve air quality to reduce the number of premature deaths caused by air pollution by 55% by 2030;+;2;The increase of solar heat and geothermal energy will help to minimize the environmental impacts of energy production, making it more feasible to achieve the air quality targets.
TA2.3;Member States shall ensure that the contribution of renewable fuels of non-biological origin used for final energy and non-energy purposes shall be at least 42% of the hydrogen used for final energy and non-energy purposes in industry by 2030;TA7.13;Reduce by 25% the EU ecosystems where air pollution threatens biodiversity, by 2030;+;1;The increase of renewable fuels of non-biological origin will help to minimize the environmental impacts of industrial activities, making it more feasible to achieve the biodiversity targets.
TA2.1;REPowerEU sets a target of 10 million tonnes of domestic renewable hydrogen production and 10 million tonnes of renewable hydrogen imports by 2030;TA7.6;Improve soil quality by reducing chemical pesticides’ use by 50%, by 2030;+;1;The increase of renewable hydrogen will help to minimize the environmental impacts of energy production, making it more feasible to achieve the soil quality targets.
TA2.40;Around 30% of EU primary steel production is expected to be decarbonised on the basis of renewable hydrogen;TA7.15;Having all soils in healthy condition by 2050;+;2;The increase of renewable hydrogen will help to minimize the environmental impacts of industrial activities, making it more feasible to achieve the soil health targets.
TA2.38;Cumulative EU offshore goals of installed capacity: 60 GW by 2030 and 300 GW by 2050;TA7.10;Improve water quality by reducing waste, plastic litter at sea (by 50%);+;2;The increase of offshore renewable energy sources will help to minimize the environmental impacts of energy production, making it more feasible to achieve the water quality targets.
TA2.39;The strategy sets targets for an installed capacity of at least 1 GW of ocean energy by 2030 and 40 GW by 2050;TA7.11;Improve water quality by reducing microplastics released into the environment (by 30%);+;1;The increase of ocean energy will help to minimize the environmental impacts of energy production, making it more feasible to achieve the water quality targets.
TA2.5;Bring online over 320 GW of solar photovoltaic by 2025 and almost 600 GW by 2030;TA7.4;The Industrial Emissions Directive (IED) aims at preventing or reducing emissions from large industrial installations and intensive farming into the environment.;+;1;The increase of solar photovoltaic energy will help to minimize the environmental impacts of energy production, making it more feasible to achieve the emissions reduction targets.
TA2.7;Over this decade, the EU will need to install, on average, approximately 45 GW per year of PV to reach the share of 45% of energy coming from renewables;TA7.13;Reduce by 25% the EU ecosystems where air pollution threatens biodiversity, by 2030;+;1;The increase of solar photovoltaic energy will help to minimize the environmental impacts of energy production, making it more feasible to achieve the biodiversity targets.
