thmatic_area_code;source_target;source_target_subtheme;source_target_content;impact_target;impact_target_subtheme;impact_target_content;impact_type;impact_weight;justification
TA1	;TA1.15;GHG Reduction - Buildings;Reduce buildings‚Äô greenhouse gas emissions by 60%, by 2030;TA4.25;Energy Infrastructure;Member States shall ensure that, at the end of each year, the following power output targets are met cumulatively: (a) for each light-duty battery electric vehicle registered in their territory, a total power output of at least 1.3 kW is provided through publicly accessible recharging stations, and (b) for each light-duty plug-in hybrid vehicle registered in their territory, a total power output of at least 0.80 kW is provided through publicly accessible recharging stations. Regulation (EU) 2023/1804;+;1;The reduction of buildings' greenhouse gas emissions will lead to increased energy efficiency and reduced energy consumption, which can be supported by the deployment of publicly accessible recharging stations.
TA1	;TA1.3;GHG Reduction;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;TA4.30;Hydrogen Distribution;Member States shall ensure that, by 31 December 2030, at least one publicly accessible hydrogen refuelling station is deployed in each urban node. Regulation (EU) 2023/1804;+;2;The reduction of GHG emissions will create a favorable environment for the deployment of hydrogen refuelling stations, which can help achieve the EU's climate goals.
TA1	;TA1.8;Energy Efficiency;Reach energy neutrality in the wastewater treatment sector by 2045.;TA4.32;Energy Efficiency;States shall ensure that, at all airports of the TEN-T core network and TEN-T comprehensive network, the provision of electricity supply to stationary aircraft is ensured by 31 December 2029, at all aircraft remote stands used for commercial air transport operations to embark or disembark passengers or to load or unload goods Regulation (EU) 2023/1804;+;1;The achievement of energy neutrality in the wastewater treatment sector will lead to increased energy efficiency and reduced energy consumption, which can be supported by the provision of electricity supply to stationary aircraft.
TA1	;TA1.12;GHG Removal;Achieve an EU net greenhouse gas removal of 310 million tonnes CO2 equivalent per year for the land use, land use change and forestry (LULUCF) sector, by 2030;TA4.5;Biofuels;Aviation fuel suppliers shall also ensure that Sustainable Aviation Fuel (SAF) made available to aircraft operators at each Union airport will be at least 2% from 2025, 6% from 2030, 20% from 2035, 34% from 2040, 42% from 2045 and 70% from 2050. Regulation (EU) 2023/2405;+;1;The achievement of net greenhouse gas removal in the LULUCF sector will create a favorable environment for the production and use of Sustainable Aviation Fuels, which can help achieve the EU's climate goals.
TA1	;TA1.13;GHG Reduction;No debit rule. For the period from 2021 to 2025, each Member State shall ensure that greenhouse gas emissions from the sector do not exceed greenhouse gas removals;TA4.5;Biofuels;Aviation fuel suppliers shall also ensure that Sustainable Aviation Fuel (SAF) made available to aircraft operators at each Union airport will be at least 2% from 2025, 6% from 2030, 20% from 2035, 34% from 2040, 42% from 2045 and 70% from 2050. Regulation (EU) 2023/2405;+;1;The no-debit rule will create a favorable environment for the production and use of Sustainable Aviation Fuels, which can help achieve the EU's climate goals.
TA1	;TA1.3;GHG Reduction;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;TA4.5;Biofuels;Aviation fuel suppliers shall also ensure that Sustainable Aviation Fuel (SAF) made available to aircraft operators at each Union airport will be at least 2% from 2025, 6% from 2030, 20% from 2035, 34% from 2040, 42% from 2045 and 70% from 2050. Regulation (EU) 2023/2405;+;2;The reduction of GHG emissions will create a favorable environment for the production and use of Sustainable Aviation Fuels, which can help achieve the EU's climate goals.
TA1	;TA1.10;GHG Reduction - Buildings;ETS2. Contribution of the buildings and road transport sectors of 43% emission reductions by 2030 compared to 2005;TA4.7;Biofuels;Each Member State shall set an obligation on fuel suppliers to ensure that: (B) the combined share of advanced biofuels and biogas produced from the feedstock listed in Part A of Annex IX and of renewable fuels of non-biological origin in the energy supplied to the transport sector is at least 1% in 2025 and 5.5% in 2030, of which a share of at least 1 percentage point is from renewable fuels of non-biological origin in 2030. Directive (EU) 2023/2413;+;2;The ETS2 will drive the growth of the sustainable biomethane market by creating a framework for the reduction of GHG emissions in the transport sector.
TA1	;TA1.11;GHG Reduction;ESR. Increased national targets in line with an EU- wide reduction of 40% in the ESR sectors compared to 2005;TA4.7;Biofuels;Each Member State shall set an obligation on fuel suppliers to ensure that: (B) the combined share of advanced biofuels and biogas produced from the feedstock listed in Part A of Annex IX and of renewable fuels of non-biological origin in the energy supplied to the transport sector is at least 1% in 2025 and 5.5% in 2030, of which a share of at least 1 percentage point is from renewable fuels of non-biological origin in 2030. Directive (EU) 2023/2413;+;2;The ESR will drive the growth of the sustainable biomethane market by creating a framework for the reduction of GHG emissions in the transport sector.
TA1	;TA1.3;GHG Reduction;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;TA4.7;Biofuels;Each Member State shall set an obligation on fuel suppliers to ensure that: (B) the combined share of advanced biofuels and biogas produced from the feedstock listed in Part A of Annex IX and of renewable fuels of non-biological origin in the energy supplied to the transport sector is at least 1% in 2025 and 5.5% in 2030, of which a share of at least 1 percentage point is from renewable fuels of non-biological origin in 2030. Directive (EU) 2023/2413;+;2;The reduction of GHG emissions will lead to an increased demand for low-carbon energy sources, such as advanced biofuels and renewable fuels of non-biological origin, which will drive the growth of the sustainable biomethane market.
TA1	;TA1.7;GHG Reduction;Reduce methane emissions by 35 to 37% compared to 2005 levels, by 2030;TA4.7;Biofuels;Each Member State shall set an obligation on fuel suppliers to ensure that: (B) the combined share of advanced biofuels and biogas produced from the feedstock listed in Part A of Annex IX and of renewable fuels of non-biological origin in the energy supplied to the transport sector is at least 1% in 2025 and 5.5% in 2030, of which a share of at least 1 percentage point is from renewable fuels of non-biological origin in 2030. Directive (EU) 2023/2413;+;2;The reduction of methane emissions will lead to an increased demand for low-carbon energy sources, such as advanced biofuels and renewable fuels of non-biological origin, which will drive the growth of the sustainable biomethane market.
TA1	;TA1.3;GHG Reduction;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;TA4.9;GHG Reduction - Transports;Cut the emissions of transport sector by 90% by 2050 relative to 1990. Sustainable and Smart Mobility Strategy;+;3;The reduction of GHG emissions will have a significant impact on the transport sector, leading to a substantial decrease in emissions and driving the transition to low-carbon transportation.
TA1	;TA1.3;GHG Reduction;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;TA5.10;Renewable Energy;Energy: Increase renewable energy in the agriculture and food sector. Adopt energy efficiency solutions in the agriculture and food sector, by reducing energy consumption.;+;1;The reduction of GHG emissions will enable the increase of renewable energy in the agriculture and food sector, promoting sustainable development and reducing energy consumption.
TA1	;TA1.3;GHG Reduction;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;TA5.11;Biodiversity Protection & Conservation;Biodiversity conservation and restoration of natural resources: Protect the environment and restore natural resources. Preserve biodiversity and reduce biodiversity loss.;+;2;The reduction of GHG emissions will reinforce biodiversity conservation and restoration of natural resources by reducing pollution and preserving ecosystems, which in turn will support the achievement of the biodiversity target.
TA1	;TA1.3;GHG Reduction;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;TA5.13;Waste Reduction - Food Waste;Reduce food waste. Prevent food loss and waste. Halve per capita food waste at retail and consumer levels* *See also Directive (EU) 2018/851 on waste with a target on food waste reduction of 30% by 2025;+;2;The reduction of GHG emissions will reinforce food waste reduction by promoting sustainable food production and consumption patterns, reducing pollution, and increasing the competitiveness of the EU food sector.
TA1	;TA1.3;GHG Reduction;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;TA5.14;Circularity/Recycling;Circular economy: Scale-up and promote sustainable and socially responsible production methods and circular business models in food processing and retail.;+;1;Reducing GHG emissions will enable the transition to a circular economy in the food sector by promoting sustainable production and consumption patterns, reducing waste, and increasing recycling.
TA1	;TA1.3;GHG Reduction;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;TA5.16;Social Security - Workers Protection;Income distribution: Ensure fair income and salaries. Improve income of primary producers to ensure their sustainable livelihood.;+;1;The reduction of GHG emissions will enable the improvement of income distribution by promoting sustainable agriculture, reducing pollution, and increasing the competitiveness of the EU food sector.
TA1	;TA1.3;GHG Reduction;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;TA5.17;Competitive Agriculture;Sectorial growth: Help farmers and fishers to strengthen their position in the supply chain and to capture a fair share of the added value of sustainable production;+;1;The reduction of GHG emissions will enable farmers and fishers to adopt more sustainable production methods, increasing their competitiveness and resilience in the supply chain.
TA1	;TA1.12;GHG Removal;Achieve an EU net greenhouse gas removal of 310 million tonnes CO2 equivalent per year for the land use, land use change and forestry (LULUCF) sector, by 2030;TA5.2;Food quality - Animal Welfare;Reduce overall EU sales of antimicrobials for farmed animals and in aquaculture by 50% by 2030.;+;2;Achieving net GHG removal in the LULUCF sector will reinforce the reduction of antimicrobial use in animal farming, promoting sustainable agriculture and reducing the environmental impact of farming practices.
TA1	;TA1.3;GHG Reduction;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;TA5.20;Competitive Agriculture;Trade: Foster the competitiveness of the EU supply sector.;+;1;Reducing GHG emissions will enable the EU to increase its competitiveness in the global market, fostering trade and economic growth while promoting sustainable development.
TA1	;TA1.8;Energy Efficiency;Reach energy neutrality in the wastewater treatment sector by 2045.;TA5.21;Digitalisation;Digitalisation and knowledge transfer. Ensure access to fast broadband to all farmers and all rural areas to achieve the objective of 100% access by 2025 (enabler for jobs, businesses, investments, improvement in quality of life in rural areas and enabler to mainstream precision farming and use of artificial intelligence);+;1;Reaching energy neutrality in the wastewater treatment sector will enable the adoption of digital technologies, such as precision farming and artificial intelligence, in rural areas, improving the efficiency and sustainability of agricultural practices.
TA1	;TA1.3;GHG Reduction;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;TA5.22;Transport Logistics;Transport, accessibility and infrastructure: Create shorter supply chains will support reducing dependence on long-haul transportation.;+;1;The reduction of GHG emissions will enable the creation of shorter supply chains by promoting sustainable agriculture, reducing pollution, and increasing the competitiveness of the EU food sector.
TA1	;TA1.3;GHG Reduction;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;TA5.23;Social Security - Workers Protection;Employment and working conditions: Create new job opportunities. Improve working conditions, ensure occupation health and safety.;+;1;The reduction of GHG emissions will enable the creation of new job opportunities by promoting sustainable agriculture, reducing pollution, and increasing the competitiveness of the EU food sector.
TA1	;TA1.3;GHG Reduction;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;TA5.24;Social Security - Workers Protection;Social protection and poverty: Ensure fair, inclusive and ethical value chains. Ensure workers‚Äô social protection and housing conditions, promote socially responsible production methods, Mitigate the socio- economic consequences impacting the food chain and ensure that the key principles enshrined in the European Pillar of Social Rights are respected, especially when it comes to precarious, seasonal and undeclared workers.;+;2;The reduction of GHG emissions will reinforce social protection and poverty reduction by promoting sustainable agriculture, reducing pollution, and increasing the competitiveness of the EU food sector.
TA1	;TA1.7;GHG Reduction;Reduce methane emissions by 35 to 37% compared to 2005 levels, by 2030;TA5.25;Food quality - Animal Welfare;Animal welfare: Promote better animal welfare to improve animal health and food quality.;+;1;Reducing methane emissions will enable the promotion of better animal welfare by reducing the environmental impact of animal farming and increasing the competitiveness of the EU food sector.
TA1	;TA1.10;GHG Reduction - Buildings;ETS2. Contribution of the buildings and road transport sectors of 43% emission reductions by 2030 compared to 2005;TA5.27;Food quality - Healthy Food;Food messaging: Provide food information and labelling to empower consumers to make informed, healthy and sustainable food choices. Strengthen educational messages on the importance of healthy nutrition, sustainable food production and consumption, and reducing food waste;+;1;The ETS2 will enable the promotion of sustainable food choices by providing consumers with accurate information and promoting sustainable food production and consumption patterns.
TA1	;TA1.9;GHG Reduction;EU ETS. The contribution of the sectors covered by the existing EU Emission trading System (EU ETS) with respect to the EU Climate ambition should be of -62% compared to 2005;TA5.29;Food affordability;Food availability: Improve availability of sustainable food. Ensure that the healthy option is always the easiest one. Ensure food supply.;+;1;The EU ETS will enable the improvement of food availability by promoting sustainable food production and consumption patterns, reducing GHG emissions, and increasing the competitiveness of the EU food sector.
TA1	;TA1.3;GHG Reduction;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;TA5.3;Improve Soils Health;Reduce nutrient losses by at least 50%, while ensuring that there is no deterioration in soil fertility.;+;2;The reduction of GHG emissions will reinforce the reduction of nutrient losses by promoting sustainable agriculture, reducing pollution, and increasing the competitiveness of the EU food sector.
TA1	;TA1.11;GHG Reduction;ESR. Increased national targets in line with an EU- wide reduction of 40% in the ESR sectors compared to 2005;TA5.30;Food affordability;Food affordability: Ensure affordability to sufficient, nutritious and sustainable food;+;1;Increasing national targets in the ESR sectors will enable the improvement of food affordability by reducing energy consumption, promoting sustainable production methods, and increasing the competitiveness of the EU food sector.
TA1	;TA1.13;GHG Reduction;No debit rule. For the period from 2021 to 2025, each Member State shall ensure that greenhouse gas emissions from the sector do not exceed greenhouse gas removals;TA5.32;Food affordability;Food security: Ensuring food security and access to quality, safe, sustainable, nutritious food for all.;+;2;The no-debit rule will reinforce food security by promoting sustainable agriculture, reducing GHG emissions, and increasing the resilience of the food system to climate change.
TA1	;TA1.3;GHG Reduction;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;TA5.33;Food quality - Healthy Food;Nutrition and healthy, sustainable diets: Move to healthier and more sustainable diets.;+;2;The reduction of GHG emissions will reinforce the transition to healthier and more sustainable diets by promoting sustainable food production and consumption patterns, reducing waste, and increasing recycling.
TA1	;TA1.3;GHG Reduction;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;TA5.34;Food quality - Healthy Food;Health impact of diets: Reversing of the rise in overweight and obesity rates across the EU by 2030;+;2;The reduction of GHG emissions will reinforce the improvement of public health by promoting sustainable food production and consumption patterns, reducing pollution, and increasing the competitiveness of the EU food sector.
TA1	;TA1.3;GHG Reduction;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;TA5.35;Competitive Agriculture;Preparedness, shock resilience, adaptation and transformation: Strengthen the resilience of the EU food system. Build up resilience to climate change, possible future diseases and pandemics. Increasing the sustainability of food producers will ultimately increase their resilience.;+;2;The reduction of GHG emissions will reinforce the resilience of the EU food system by promoting sustainable agriculture, reducing the impact of climate change, and increasing the ability of farmers to adapt to changing conditions.
TA1	;TA1.3;GHG Reduction;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;TA5.4;Pesticides Reduction;Reduce by 50% the use of more hazardous pesticides Target in Common with Biodiversity Strategy (see Thematic Area 6) and Zero Pollution Action Plan (see Thematic Area 7);+;2;The reduction of GHG emissions will reinforce the reduction of hazardous pesticide use by promoting sustainable agriculture, reducing pollution, and increasing the competitiveness of the EU food sector.
TA1	;TA1.3;GHG Reduction;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;TA5.5;Pesticides Reduction;Reduce by 50% the use and risk of chemical pesticides Target in Common with Biodiversity Strategy (see Thematic Area 6) and Zero Pollution Action Plan (see Thematic Area 7);+;2;The reduction of GHG emissions will reinforce the reduction of chemical pesticide use by promoting sustainable agriculture, reducing pollution, and increasing the competitiveness of the EU food sector.
TA1	;TA1.15;GHG Reduction - Buildings;Reduce buildings‚Äô greenhouse gas emissions by 60%, by 2030;TA5.6;Food quality;Aquatic living resources: Increase sustainable fishing and aquaculture. Bring fish stocks to sustainable levels. Significant increase in organic aquaculture;+;1;Reducing buildings' GHG emissions will enable the promotion of sustainable fishing and aquaculture practices, increasing the competitiveness of the EU food sector and promoting sustainable development.
TA1	;TA1.3;GHG Reduction;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;TA5.7;GHG Reduction;Ensure that agriculture, fisheries and aquaculture, and the food value chain contribute to the target of reducing net greenhouse gas emissions to at least 55% below 1990 levels by 2030 and to the achievement of the objective for a climate-neutral Union in 2050.;+;3;The reduction of GHG emissions is indivisible from the achievement of the climate-neutral Union objective, as it will require a fundamental transformation of the EU's energy and food systems.
TA1	;TA1.3;GHG Reduction;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;TA5.8;Improve Water Quality;Water: Preserving freshwater, boosting water reuse in agriculture.;+;1;The reduction of GHG emissions will enable the preservation of freshwater resources by promoting sustainable water management practices, reducing pollution, and increasing the competitiveness of the EU food sector.
TA1	;TA1.10;GHG Reduction - Buildings;ETS2. Contribution of the buildings and road transport sectors of 43% emission reductions by 2030 compared to 2005;TA5.9;Food quality;Increase organic farming with the aim to achieve at least 25% of total farmland under organic farming by 2030 Target in Common with Biodiversity Strategy (see Thematic Area 6);+;1;The ETS2 will enable the increase of organic farming by promoting sustainable production methods, reducing GHG emissions, and increasing the competitiveness of the EU food sector.
TA1	;TA1.15;GHG Reduction - Buildings;Reduce buildings greenhouse gas emissions by 60%, by 2030;TA7.10;Improve Water Quality;Improve water quality by reducing waste, plastic litter at sea (by 50%);+;1;Reducing buildings' greenhouse gas emissions will enable the improvement of water quality, as it will lead to a decrease in energy consumption and emissions, thus reducing waste and plastic litter.
TA1	;TA1.3;GHG Reduction;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;TA7.10;Improve Water Quality;Improve water quality by reducing waste, plastic litter at sea (by 50%);+;2;The reduction of GHG emissions will also contribute to improving water quality, as it will lead to a decrease in waste and plastic litter, thus reducing water pollution.
TA1	;TA1.10;GHG Reduction - Buildings;ETS2. Contribution of the buildings and road transport sectors of 43% emission reductions by 2030 compared to 2005;TA7.11;Improve Water Quality;Improve water quality by reducing microplastics released into the environment (by 30%);+;1;The ETS2 will enable the improvement of water quality, as it will lead to a decrease in microplastics released into the environment, thus reducing water pollution.
TA1	;TA1.3;GHG Reduction;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;TA7.11;Improve Water Quality;Improve water quality by reducing microplastics released into the environment (by 30%);+;2;The reduction of GHG emissions will contribute to improving water quality, as it will lead to a decrease in microplastics released into the environment, thus reducing water pollution.
TA1	;TA1.3;GHG Reduction;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;TA7.13;Improve Air Quality;Reduce by 25% the EU ecosystems where air pollution threatens biodiversity, by 2030;+;2;The reduction of GHG emissions will also contribute to reducing the EU ecosystems where air pollution threatens biodiversity, as it will lead to a decrease in the emissions of air pollutants, thus protecting biodiversity.
TA1	;TA1.7;GHG Reduction;Reduce methane emissions by 35 to 37% compared to 2005 levels, by 2030;TA7.13;Improve Air Quality;Reduce by 25% the EU ecosystems where air pollution threatens biodiversity, by 2030;+;2;The reduction of methane emissions will contribute to reducing the EU ecosystems where air pollution threatens biodiversity, as it will lead to a decrease in emissions of air pollutants, thus protecting biodiversity.
TA1	;TA1.9;GHG Reduction;EU ETS. The contribution of the sectors covered by the existing EU Emission trading System (EU ETS) with respect to the EU Climate ambition should be of -62% compared to 2005;TA7.13;Improve Air Quality;Reduce by 25% the EU ecosystems where air pollution threatens biodiversity, by 2030;+;2;The EU ETS will contribute to reducing the EU ecosystems where air pollution threatens biodiversity, as it will lead to a decrease in emissions of air pollutants, thus protecting biodiversity.
TA1	;TA1.3;GHG Reduction;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;TA7.14;Noise Reduction;Reduce the share of people chronically disturbed by transport noise by 30%, by 2030;+;2;The reduction of GHG emissions will contribute to reducing the share of people chronically disturbed by transport noise, as it will lead to a decrease in transport emissions, thus reducing noise pollution.
TA1	;TA1.13;GHG Reduction;No debit rule. For the period from 2021 to 2025, each Member State shall ensure that greenhouse gas emissions from the sector do not exceed greenhouse gas removals;TA7.15;Improve Soils Health;Having all soils in healthy condition by 2050;+;2;The no debit rule will contribute to having all soils in healthy condition, as it will lead to a decrease in soil degradation and pollution, thus protecting soil health.
TA1	;TA1.3;GHG Reduction;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;TA7.15;Improve Soils Health;Having all soils in healthy condition by 2050;+;2;The reduction of GHG emissions will contribute to having all soils in healthy condition, as it will lead to a decrease in soil degradation and pollution, thus protecting soil health.
TA1	;TA1.12;GHG Removal;Achieve an EU net greenhouse gas removal of 310 million tonnes CO2 equivalent per year for the land use, land use change and forestry (LULUCF) sector, by 2030;TA7.16;Improve Water Quality;By means of an updated and harmonised list of pollutants affecting surface and groundwater, updated existing quality standards, new monitoring requirements, improved and more accessible data, and a more flexible framework for addressing pollutants of emerging concerns;+;2;The achievement of an EU net greenhouse gas removal will contribute to improving water quality, as it will lead to a decrease in pollutants released into the environment, thus reducing water pollution.
TA1	;TA1.3;GHG Reduction;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;TA7.16;Improve Water Quality;By means of an updated and harmonised list of pollutants affecting surface and groundwater, updated existing quality standards, new monitoring requirements, improved and more accessible data, and a more flexible framework for addressing pollutants of emerging concerns;+;2;The reduction of GHG emissions will also contribute to improving water quality, as it will lead to a decrease in pollutants released into the environment, thus reducing water pollution.
TA1	;TA1.3;GHG Reduction;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;TA7.4;Improve Air Quality;The Industrial Emissions Directive (IED) aims at preventing or reducing emissions from large industrial installations and intensive farming into the environment.;+;1;The reduction of GHG emissions will enable the prevention or reduction of emissions from large industrial installations and intensive farming, thus reducing pollution.
TA1	;TA1.11;GHG Reduction;ESR. Increased national targets in line with an EU- wide reduction of 40% in the ESR sectors compared to 2005;TA7.6;Improve Soils Health;Improve soil quality by reducing chemical pesticides use by 50%, by 2030;+;2;The ESR will contribute to improving soil quality, as it will lead to a decrease in the use of chemical pesticides, thus reducing soil pollution.
TA1	;TA1.3;GHG Reduction;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;TA7.6;Improve Soils Health;Improve soil quality by reducing chemical pesticides use by 50%, by 2030;+;2;The reduction of GHG emissions will contribute to improving soil quality, as it will lead to a decrease in the use of chemical pesticides, thus reducing soil pollution.
