TA6.1;1.a Legally protect a minimum of 30% of the EU’s land area;TA1.3;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;+;2;The protection of land areas can reinforce the reduction of GHG emissions by preserving natural carbon sinks and promoting sustainable land use practices.
TA6.33;Terrestrial, coastal and freshwater ecosystems. Member States shall put in place the restoration measures for the terrestrial, coastal and freshwater habitats of the species listed in Annexes II, IV and V;TA1.13;No debit rule. For the period from 2021 to 2025, each Member State shall ensure that greenhouse gas emissions from the sector do not exceed greenhouse gas removals;+;2;The restoration of ecosystems can aid in the implementation of the no-debit rule by promoting sustainable land use practices and preserving natural carbon sinks, which are essential for reducing GHG emissions and maintaining ecosystem services.
TA6.40;(pollinator) Member States shall, by putting in place in a timely manner appropriate and effective measures, improve pollinator diversity and reverse the decline of pollinator populations;TA1.13;No debit rule. For the period from 2021 to 2025, each Member State shall ensure that greenhouse gas emissions from the sector do not exceed greenhouse gas removals;+;1;The improvement of pollinator diversity and the reversal of pollinator decline can contribute to the implementation of the no-debit rule by promoting sustainable agriculture and land use practices, which are essential for reducing GHG emissions and maintaining ecosystem services.
TA6.1;1.a Legally protect a minimum of 30% of the EU’s land area;TA1.15;Reduce buildings’ greenhouse gas emissions by 60%, by 2030;+;1;The protection of land areas can contribute to the reduction of GHG emissions from buildings by promoting sustainable land use practices and preserving ecosystem services, which are essential for reducing energy consumption and GHG emissions.
TA6.3;2.a Strictly protect at least a third of the EU'S protected areas;TA1.15;Reduce buildings’ greenhouse gas emissions by 60%, by 2030;+;1;The protection of protected areas can aid in the reduction of GHG emissions from buildings by promoting sustainable land use practices and preserving ecosystem services, which are essential for reducing energy consumption and GHG emissions.
TA6.8;5. The decline of pollinators is reversed;TA1.15;Reduce buildings’ greenhouse gas emissions by 60%, by 2030;+;1;The reversal of pollinator decline can contribute to the reduction of GHG emissions from buildings by promoting sustainable agriculture and land use practices, which are essential for reducing energy consumption and GHG emissions.
TA6.33;Terrestrial, coastal and freshwater ecosystems. Member States shall put in place the restoration measures for the terrestrial, coastal and freshwater habitats of the species listed in Annexes II, IV and V;TA1.15;Reduce buildings’ greenhouse gas emissions by 60%, by 2030;+;2;The restoration of ecosystems can aid in the reduction of GHG emissions from buildings by promoting sustainable land use practices and preserving natural carbon sinks, which are essential for reducing energy consumption and GHG emissions.
TA6.40;(pollinator) Member States shall, by putting in place in a timely manner appropriate and effective measures, improve pollinator diversity and reverse the decline of pollinator populations;TA1.15;Reduce buildings’ greenhouse gas emissions by 60%, by 2030;+;1;The improvement of pollinator diversity and the reversal of pollinator decline can contribute to the reduction of GHG emissions from buildings by promoting sustainable agriculture and land use practices, which are essential for reducing energy consumption and GHG emissions.
TA6.1;1.a Legally protect a minimum of 30% of the EU’s land area;TA1.10;ETS2. Contribution of the buildings and road transport sectors of 43% emission reductions by 2030 compared to 2005;+;1;The protection of land areas can contribute to the reduction of GHG emissions from the ETS2 sectors by promoting sustainable land use practices and preserving ecosystem services, which are essential for reducing energy consumption and GHG emissions.
TA6.3;2.a Strictly protect at least a third of the EU'S protected areas;TA1.10;ETS2. Contribution of the buildings and road transport sectors of 43% emission reductions by 2030 compared to 2005;+;1;The protection of protected areas can aid in the reduction of GHG emissions from the ETS2 sectors by promoting sustainable land use practices and preserving ecosystem services, which are essential for reducing energy consumption and GHG emissions.
TA6.8;5. The decline of pollinators is reversed;TA1.10;ETS2. Contribution of the buildings and road transport sectors of 43% emission reductions by 2030 compared to 2005;+;1;The reversal of pollinator decline can contribute to the reduction of GHG emissions from the ETS2 sectors by promoting sustainable agriculture and land use practices, which are essential for reducing energy consumption and GHG emissions.
TA6.33;Terrestrial, coastal and freshwater ecosystems. Member States shall put in place the restoration measures for the terrestrial, coastal and freshwater habitats of the species listed in Annexes II, IV and V;TA1.10;ETS2. Contribution of the buildings and road transport sectors of 43% emission reductions by 2030 compared to 2005;+;2;The restoration of ecosystems can aid in the reduction of GHG emissions from the ETS2 sectors by promoting sustainable land use practices and preserving natural carbon sinks, which are essential for reducing energy consumption and GHG emissions.
TA6.40;(pollinator) Member States shall, by putting in place in a timely manner appropriate and effective measures, improve pollinator diversity and reverse the decline of pollinator populations;TA1.10;ETS2. Contribution of the buildings and road transport sectors of 43% emission reductions by 2030 compared to 2005;+;1;The improvement of pollinator diversity and the reversal of pollinator decline can contribute to the reduction of GHG emissions from the ETS2 sectors by promoting sustainable agriculture and land use practices, which are essential for reducing energy consumption and GHG emissions.
TA6.1;1.a Legally protect a minimum of 30% of the EU’s land area;TA1.12;Achieve an EU net greenhouse gas removal of 310 million tonnes CO2 equivalent per year for the land use, land use change and forestry (LULUCF) sector, by 2030;+;2;The protection of land areas can aid in the achievement of net greenhouse gas removal by promoting sustainable land use practices and preserving ecosystem services, which are essential for reducing GHG emissions and maintaining ecosystem services.
TA6.3;2.a Strictly protect at least a third of the EU'S protected areas;TA1.12;Achieve an EU net greenhouse gas removal of 310 million tonnes CO2 equivalent per year for the land use, land use change and forestry (LULUCF) sector, by 2030;+;2;The protection of protected areas can aid in the achievement of net greenhouse gas removal by promoting sustainable land use practices and preserving ecosystem services, which are essential for reducing GHG emissions and maintaining ecosystem services.
TA6.8;5. The decline of pollinators is reversed;TA1.12;Achieve an EU net greenhouse gas removal of 310 million tonnes CO2 equivalent per year for the land use, land use change and forestry (LULUCF) sector, by 2030;+;1;The reversal of pollinator decline can contribute to the achievement of net greenhouse gas removal by promoting sustainable agriculture and land use practices, which are essential for reducing GHG emissions and maintaining ecosystem services.
TA6.33;Terrestrial, coastal and freshwater ecosystems. Member States shall put in place the restoration measures for the terrestrial, coastal and freshwater habitats of the species listed in Annexes II, IV and V;TA1.12;Achieve an EU net greenhouse gas removal of 310 million tonnes CO2 equivalent per year for the land use, land use change and forestry (LULUCF) sector, by 2030;+;2;The restoration of ecosystems can aid in the achievement of net greenhouse gas removal by promoting sustainable land use practices and preserving natural carbon sinks, which are essential for reducing GHG emissions and maintaining ecosystem services.
TA6.40;(pollinator) Member States shall, by putting in place in a timely manner appropriate and effective measures, improve pollinator diversity and reverse the decline of pollinator populations;TA1.12;Achieve an EU net greenhouse gas removal of 310 million tonnes CO2 equivalent per year for the land use, land use change and forestry (LULUCF) sector, by 2030;+;1;The improvement of pollinator diversity and the reversal of pollinator decline can contribute to the achievement of net greenhouse gas removal by promoting sustainable agriculture and land use practices, which are essential for reducing GHG emissions and maintaining ecosystem services.
TA6.1;1.a Legally protect a minimum of 30% of the EU’s land area;TA1.7;Reduce methane emissions by 35 to 37% compared to 2005 levels, by 2030;+;1;The protection of land areas can contribute to the reduction of methane emissions by promoting sustainable land use practices and preserving ecosystem services, which are essential for reducing energy consumption and GHG emissions.
TA6.3;2.a Strictly protect at least a third of the EU'S protected areas;TA1.7;Reduce methane emissions by 35 to 37% compared to 2005 levels, by 2030;+;1;The protection of protected areas can aid in the reduction of methane emissions by promoting sustainable land use practices and preserving ecosystem services, which are essential for reducing energy consumption and GHG emissions.
TA6.8;5. The decline of pollinators is reversed;TA1.7;Reduce methane emissions by 35 to 37% compared to 2005 levels, by 2030;+;1;The reversal of pollinator decline can contribute to the reduction of methane emissions by promoting sustainable agriculture and land use practices, which are essential for reducing energy consumption and GHG emissions.
TA6.33;Terrestrial, coastal and freshwater ecosystems. Member States shall put in place the restoration measures for the terrestrial, coastal and freshwater habitats of the species listed in Annexes II, IV and V;TA1.7;Reduce methane emissions by 35 to 37% compared to 2005 levels, by 2030;+;2;The restoration of ecosystems can aid in the reduction of methane emissions by promoting sustainable land use practices and preserving natural carbon sinks, which are essential for reducing energy consumption and GHG emissions.
TA6.40;(pollinator) Member States shall, by putting in place in a timely manner appropriate and effective measures, improve pollinator diversity and reverse the decline of pollinator populations;TA1.7;Reduce methane emissions by 35 to 37% compared to 2005 levels, by 2030;+;1;The improvement of pollinator diversity and the reversal of pollinator decline can contribute to the reduction of methane emissions by promoting sustainable agriculture and land use practices, which are essential for reducing energy consumption and GHG emissions.
