source_target;source_target_content;impact_target;impact_target_content;impact_type;impact_weight;justification
TA3.38;Each vehicle belonging to a vehicle type that is type-approved as of [the first day of the month following 72 months after the date of entry into force of this Regulation] under Regulation (EU) 2018/858 shall be constructed so that it is: (a) reusable/recyclable to a minimum of 85% by mass, (b) reusable/recoverable to a minimum of 95 % by mass. Proposal for a Regulation on circularity requirements for vehicle design and on management of end-of-life vehicles;TA1.10;ETS2. Contribution of the buildings and road transport sectors of 43% emission reductions by 2030 compared to 2005;+;1;The implementation of TA3.38 will aid TA1.10 by promoting the design of vehicles for recyclability and reusability, which will reduce waste and increase the recycling rate, contributing to the reduction of GHG emissions.
TA3.48;The plastic contained in each vehicle type that is type-approved as of [the first day of the month following 72 months after the date of entry into force of the Regulation] under Regulation (EU) 2018/858 shall contain a minimum of 25 % of plastic recycled by weight from post-consumer plastic waste. Proposal for a Regulation on circularity requirements for vehicle design and on management of end-of-life vehicles;TA1.12;Achieve an EU net greenhouse gas removal of 310 million tonnes CO2 equivalent per year for the land use, land use change and forestry (LULUCF) sector, by 2030;+;2;The implementation of TA3.48 will support TA1.12 by promoting the use of recycled plastic in vehicle production, which will reduce waste and increase the recycling rate, contributing to the reduction of GHG emissions and the increase of the EU's net greenhouse gas removal.
TA3.49;At least 25% of the target set out in the first subparagraph shall be achieved by including plastics recycled from end-of-life vehicles in the vehicle type concerned. Proposal for a Regulation on circularity requirements for vehicle design and on management of end-of-life vehicles;TA1.7;Reduce methane emissions by 35 to 37% compared to 2005 levels, by 2030;+;1;The implementation of TA3.49 will aid TA1.7 by increasing the recycling rate of plastics from end-of-life vehicles, which will reduce the demand for primary materials and decrease GHG emissions from the production of new materials.
TA3.50;Member States shall ensure that the following targets are met by the waste management operators: (a) the reuse and recovery, as calculated together, shall be a minimum of 95 %, by average weight per vehicle, excluding batteries, and year, (b) the reuse and recycling, as calculated together, shall be a minimum of 85 %, by average weight per vehicle, excluding batteries, and year. Proposal for a Regulation on circularity requirements for vehicle design and on management of end-of-life vehicles;TA1.3;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;+;2;The implementation of TA3.50 will support TA1.3 by promoting the recycling and reuse of vehicles, which will reduce waste and increase the recycling rate, contributing to the reduction of GHG emissions.
TA3.51;Member States shall ensure that waste management operators achieve a yearly target for the recycling of plastics of at least 30 % of the total weight of plastics contained in the vehicles delivered to the waste management operators. Proposal for a Regulation on circularity requirements for vehicle design and on management of end-of-life vehicles;TA1.10;ETS2. Contribution of the buildings and road transport sectors of 43% emission reductions by 2030 compared to 2005;+;1;The implementation of TA3.51 will aid TA1.10 by increasing the recycling rate of plastics, which will reduce waste and increase the recycling rate, contributing to the reduction of GHG emissions.
TA3.11;Diversify the Union’s imports of strategic raw materials with a view to ensuring that, by 2030, the Union’s annual consumption of each strategic raw material at any relevant stage of processing can rely on imports from several third countries;TA1.9;EU ETS. The contribution of the sectors covered by the existing EU Emission trading System (EU ETS) with respect to the EU Climate ambition should be of -62% compared to 2005;+;2;The implementation of TA3.11 will support TA1.9 by promoting the diversification of imports, which will reduce the Union's reliance on a limited number of countries and increase the recycling rate, contributing to the reduction of GHG emissions.
TA3.8;By 2030, Union extraction capacity should be able of extracting the ores, minerals or concentrates needed to produce at least 10% of the Union’s annual consumption of strategic raw materials;TA1.3;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;+;2;The implementation of TA3.8 will support TA1.3 by increasing the extraction capacity, which will reduce the demand for primary materials and decrease GHG emissions from the production of new materials.
TA3.9;By 2030, Union processing capacity, including for all intermediate processing steps, should be able of producing at least 40% of the Union’s annual consumption of strategic raw materials;TA1.10;ETS2. Contribution of the buildings and road transport sectors of 43% emission reductions by 2030 compared to 2005;+;1;The implementation of TA3.9 will aid TA1.10 by increasing the processing capacity, which will reduce waste and increase the recycling rate, contributing to the reduction of GHG emissions.
TA3.12;By 2030, manufacturing capacity in the Union of the strategic net-zero technologies listed in the Annex approaches or reaches a benchmark of at least 40% of the Union’s annual deployment needs;TA1.12;Achieve an EU net greenhouse gas removal of 310 million tonnes CO2 equivalent per year for the land use, land use change and forestry (LULUCF) sector, by 2030;+;2;The implementation of TA3.12 will support TA1.12 by promoting the development of net-zero technologies, which will reduce GHG emissions and increase the EU's net greenhouse gas removal.
TA3.24;Reduce the generation of food waste in processing and manufacturing by 10% in comparison to the amount generated in 2020;TA1.7;Reduce methane emissions by 35 to 37% compared to 2005 levels, by 2030;+;1;The implementation of TA3.24 will aid TA1.7 by reducing food waste, which will decrease the demand for primary materials and decrease GHG emissions from the production of new materials.
TA3.25;Reduce the generation of food waste per capita, jointly in retail and other distribution of food, in restaurants and food services and in households, by 30% in comparison to the amount generated in 2020;TA1.3;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;+;2;The implementation of TA3.25 will support TA1.3 by promoting the reduction of food waste, which will reduce the demand for primary materials and decrease GHG emissions from the production of new materials.
TA3.1;Halve the amount of residual (non-recycled) municipal waste by 2030;TA1.10;ETS2. Contribution of the buildings and road transport sectors of 43% emission reductions by 2030 compared to 2005;+;1;The implementation of TA3.1 will aid TA1.10 by reducing municipal waste, which will decrease the amount of waste sent to landfills and increase the recycling rate, contributing to the reduction of GHG emissions.
TA3.30;Each Member State shall reduce the packaging waste generated per capita, as compared to the packaging waste generated per capita in 2018 as reported to the Commission in accordance with Decision 2005/270/EC by 5% by 2030, 10% by 2035, 15% by 2040 Proposal on packaging and packaging waste;TA1.12;Achieve an EU net greenhouse gas removal of 310 million tonnes CO2 equivalent per year for the land use, land use change and forestry (LULUCF) sector, by 2030;+;2;The implementation of TA3.30 will support TA1.12 by promoting the reduction of packaging waste, which will reduce waste and increase the recycling rate, contributing to the reduction of GHG emissions and the increase of the EU's net greenhouse gas removal.
TA3.27;All packaging shall be recyclable;TA1.7;Reduce methane emissions by 35 to 37% compared to 2005 levels, by 2030;+;1;The implementation of TA3.27 will aid TA1.7 by increasing the recycling rate of packaging, which will reduce the demand for primary materials and decrease GHG emissions from the production of new materials.
TA3.28;The plastic part in packaging shall contain the following minimum percentage of recycled content recovered from post-consumer plastic waste;TA1.3;Reduce by at least 55% net GHG emissions compared to 1990 levels, by 2030;+;2;The implementation of TA3.28 will support TA1.3 by promoting the use of recycled plastic in packaging, which will reduce waste and increase the recycling rate, contributing to the reduction of GHG emissions.
TA3.29;Member States shall take measures to achieve a sustained reduction in the consumption of lightweight plastic carrier bags on their territory. A sustained reduction is achieved if the annual consumption does not exceed 40 lightweight plastic carrier bags per person, or the equivalent target in weight, by 31 December 2025, and subsequently by 31 December in each year thereafter. Proposal on packaging and packaging waste;TA1.10;ETS2. Contribution of the buildings and road transport sectors of 43% emission reductions by 2030 compared to 2005;+;1;The implementation of TA3.29 will aid TA1.10 by reducing the consumption of lightweight plastic carrier bags, which will decrease the amount of waste sent to landfills and increase the recycling rate, contributing to the reduction of GHG emissions.
