```csv
target_code;target_content;NACE_level1;NACE_level1_extra1;NACE_level1_extra2;NACE_level2;NACE_level2_extra1;NACE_level2_extra2;NACE_level_3;NACE_level_3_extra1;NACE_level3_extra2;justification;confidence_score
TA5.19;Preserve the affordability of food.;G - Wholesale and Retail Trade, Repair of Motor Vehicles and Motorcycles;C - Manufacturing;;G47 - Retail trade, except of motor vehicles and motorcycles;C10 - Manufacture of food products;;;;;The target is focused on food affordability, involving retail and manufacturing.;8
TA5.2;Reduce overall EU sales of antimicrobials for farmed animals and in aquaculture by 50% by 2030.;A - Agriculture, Forestry and Fishing;J - Information and Communication;;A1 - Crop and animal production, hunting and related service activities;J62 - Computer programming, consultancy and related activities;;;;;The target involves reducing antimicrobials in agriculture and aquaculture, relevant to agriculture and communication for monitoring.;8
TA5.20;Foster the competitiveness of the EU supply sector;A - Agriculture, Forestry and Fishing;C - Manufacturing;G - Wholesale and Retail Trade, Repair of Motor Vehicles and Motorcycles;A1 - Crop and animal production, hunting and related service activities;C10 - Manufacture of food products;G46 - Wholesale trade, except of motor vehicles and motorcycles;;;;;This target is about improving competitiveness in agriculture, manufacturing, and trade.;8
TA5.21;Ensure access to fast broadband to all farmers and all rural areas (enabler for jobs, businesses, investments, improvement in quality of life in rural areas and enabler to mainstream precision farming and use of artificial intelligence);J - Information and Communication;A - Agriculture, Forestry and Fishing;;J61 - Telecommunications;A1 - Crop and animal production, hunting and related service activities;;;;;The focus is on broadband access for farmers, involving telecommunications and agriculture.;9
TA5.22;Create shorter supply chains will support reducing dependence on long-haul transportation.;H - Transportation and Storage;G - Wholesale and Retail Trade, Repair of Motor Vehicles and Motorcycles;;H52 - Warehousing and support activities for transportation;G46 - Wholesale trade, except of motor vehicles and motorcycles;;;;;The target is about supply chain optimization, relevant to transportation and trade.;9
TA5.23;Create new job opportunities.;N - Administrative and Support Service Activities;A - Agriculture, Forestry and Fishing;C - Manufacturing;N82 - Office administrative, office support and other business support activities;A1 - Crop and animal production, hunting and related service activities;C10 - Manufacture of food products;;;;;The target is broad, focusing on job creation in various sectors.;7
TA5.24;Ensure Fair, inclusive and ethical value chains. Improve working conditions, ensure occupation health and safety. Ensure workers’ social protection and housing conditions, promote socially responsible production methods, Mitigate the socio-economic consequences impacting the food chain and ensure that the key principles enshrined in the European Pillar of Social Rights are respected, especially when it comes to precarious, seasonal and undeclared workers.;A - Agriculture, Forestry and Fishing;C - Manufacturing;G - Wholesale and Retail Trade, Repair of Motor Vehicles and Motorcycles;A1 - Crop and animal production, hunting and related service activities;C10 - Manufacture of food products;G47 - Retail trade, except of motor vehicles and motorcycles;;;;;The target focuses on fair and ethical value chains in agriculture, manufacturing, and retail.;8
TA5.25;Promote better animal welfare to improve animal health and food quality;A - Agriculture, Forestry and Fishing;C - Manufacturing;;A1 - Crop and animal production, hunting and related service activities;C10 - Manufacture of food products;;;;;The target is about animal welfare, relevant to agriculture and food manufacturing.;9
TA5.26;Strengthen educational messages on the importance of healthy nutrition, sustainable food production and consumption, and reducing food waste.;P - Education;A - Agriculture, Forestry and Fishing;;P85 - Education;A1 - Crop and animal production, hunting and related service activities;;;;;The target emphasizes education on nutrition and sustainable food, involving education and agriculture.;8
TA5.27;Provide food information and labelling to empower consumers to make informed, healthy and sustainable food choices;G - Wholesale and Retail Trade, Repair of Motor Vehicles and Motorcycles;C - Manufacturing;;G47 - Retail trade, except of motor vehicles and motorcycles;C10 - Manufacture of food products;;;;;The target is about food labelling, relevant to retail and food manufacturing.;8
TA5.28;Extend the mandatory origin or provenance indications to certain products.;G - Wholesale and Retail Trade, Repair of Motor Vehicles and Motorcycles;A - Agriculture, Forestry and Fishing;;G46 - Wholesale trade, except of motor vehicles and motorcycles;A1 - Crop and animal production, hunting and related service activities;;;;;The target is about product origin labelling, relevant to trade and agriculture.;8
TA5.29;Improve availability of sustainable food. Ensure that the healthy option is always the easiest one. Ensure food supply.;G - Wholesale and Retail Trade, Repair of Motor Vehicles and Motorcycles;C - Manufacturing;A - Agriculture, Forestry and Fishing;G47 - Retail trade, except of motor vehicles and motorcycles;C10 - Manufacture of food products;A1 - Crop and animal production, hunting and related service activities;;;;;The target is about sustainable food availability, involving retail, manufacturing, and agriculture.;8
TA5.3;Reduce nutrient losses by at least 50%, while ensuring no deterioration on soil fertility;A - Agriculture, Forestry and Fishing;E - Water Supply, Sewerage, Waste Management and Remediation Activities;;A1 - Crop and animal production, hunting and related service activities;E39 - Remediation activities and other waste management services;;;;;The target focuses on nutrient management and soil fertility, relevant to agriculture and waste management.;9
TA5.30;Ensure affordability and access to sufficient, nutritious and sustainable food.;G - Wholesale and Retail Trade, Repair of Motor Vehicles and Motorcycles;C - Manufacturing;;G47 - Retail trade, except of motor vehicles and motorcycles;C10 - Manufacture of food products;;;;;The target is centered on food affordability and access, involving retail and food manufacturing.;8
TA5.31;Increase reformulation of food products in line with guidelines for healthy and sustainable diets;C - Manufacturing;G - Wholesale and Retail Trade, Repair of Motor Vehicles and Motorcycles;;C10 - Manufacture of food products;G47 - Retail trade, except of motor vehicles and motorcycles;;;;;The target involves reformulating food products, relevant to manufacturing and retail.;8
TA5.32;Ensuring all access to quality, safe, sustainable, nutritious food.;G - Wholesale and Retail Trade, Repair of Motor Vehicles and Motorcycles;C - Manufacturing;A - Agriculture, Forestry and Fishing;G47 - Retail trade, except of motor vehicles and motorcycles;C10 - Manufacture of food products;A1 - Crop and animal production, hunting and related service activities;;;;;The target is about access to quality food, involving retail, manufacturing, and agriculture.;8
TA5.33;Move to healthier and more sustainable diets;C - Manufacturing;G - Wholesale and Retail Trade, Repair of Motor Vehicles and Motorcycles;;C10 - Manufacture of food products;G47 - Retail trade, except of motor vehicles and motorcycles;;;;;The target encourages healthier diets, relevant to manufacturing and retail.;8
TA5.34;Reverse prevalence of overweight and diet-related diseases;C - Manufacturing;G - Wholesale and Retail Trade, Repair of Motor Vehicles and Motorcycles;;C10 - Manufacture of food products;G47 - Retail trade, except of motor vehicles and motorcycles;;;;;The target focuses on diet-related health issues, involving manufacturing and retail.;8
TA5.35;Strengthen the resilience of the EU food system. Build up resilience to possible future diseases and pandemics. Increasing the sustainability of food producers will ultimately increase their resilience.;A - Agriculture, Forestry and Fishing;C - Manufacturing;G - Wholesale and Retail Trade, Repair of Motor Vehicles and Motorcycles;A1 - Crop and animal production, hunting and related service activities;C10 - Manufacture of food products;G47 - Retail trade, except of motor vehicles and motorcycles;;;;;The target is about building resilience in the food system, involving agriculture, manufacturing, and retail.;9
TA5.36;nan;A - Agriculture, Forestry and Fishing;;;A1 - Crop and animal production, hunting and related service activities;;;;;;The content is not provided, but the target code suggests relevance to agriculture.;5
TA5.37;nan;A - Agriculture, Forestry and Fishing;;;A1 - Crop and animal production, hunting and related service activities;;;;;;The content is not provided, but the target code suggests relevance to agriculture.;5
TA5.4;Reduce by 50% the use of more hazardous pesticides (target in common with the Biodiversity Strategy and Zero Pollution Action Plan);A - Agriculture, Forestry and Fishing;C - Manufacturing;E - Water Supply, Sewerage, Waste Management and Remediation Activities;A1 - Crop and animal production, hunting and related service activities;C20 - Manufacture of chemicals and chemical products;E39 - Remediation activities and other waste management services;;;;;The target involves reducing hazardous pesticide use, relevant to agriculture, chemical manufacturing, and waste management.;9
TA5.5;Reduce by 50% the use and risk of chemical pesticides (target in common with the Biodiversity Strategy and Zero Pollution Action Plan);A - Agriculture, Forestry and Fishing;C - Manufacturing;E - Water Supply, Sewerage, Waste Management and Remediation Activities;A1 - Crop and animal production, hunting and related service activities;C20 - Manufacture of chemicals and chemical products;E39 - Remediation activities and other waste management services;;;;;The target is about reducing chemical pesticide use, relevant to agriculture, chemical manufacturing, and waste management.;9
TA5.6;Increase sustainable fishing and aquaculture. Bring fish stocks to sustainable levels. Significant increase in organic aquaculture (target in common with CFP);A - Agriculture, Forestry and Fishing;;A3 - Fishing and aquaculture;;;;;;;The target focuses on sustainable fishing and aquaculture, directly relevant to the fishing sector.;9
TA5.7;Tackle climate change: climate change adaptation and mitigation. Ensure that agriculture, fisheries and aquaculture, and the food value chain contribute to the target of reducing greenhouse gas emissions to at least 55% below 1990 levels by 2030 and to the achievement of the objective for a climate neutral Union in 2050.;A - Agriculture, Forestry and Fishing;C - Manufacturing;D - Electricity, Gas, Steam and Air Conditioning Supply;A1 - Crop and animal production, hunting and related service activities;C10 - Manufacture of food products;D35 - Electricity, gas, steam and air conditioning supply;;;;;The target is about climate change mitigation, involving agriculture, manufacturing, and energy supply sectors.;9
TA5.8;Sustainable use of water. Preserving freshwater, boosting water reuse in agriculture.;A - Agriculture, Forestry and Fishing;E - Water Supply, Sewerage, Waste Management and Remediation Activities;;A1 - Crop and animal production, hunting and related service activities;E36 - Water collection, treatment and supply;;;;;The target focuses on water sustainability in agriculture, involving water supply and agriculture sectors.;9
TA5.9;Increase organic farming with the aim to achieve at least 25% of total farmland under organic farming by 2030 (target in common with the Biodiversity Strategy 2030);A - Agriculture, Forestry and Fishing;;A1 - Crop and animal production, hunting and related service activities;;;;;;;The target is directly about organic farming, relevant to the agriculture sector.;9
```
