target_code;target_content;NACE_level1;NACE_level1_extra1;NACE_level1_extra2;NACE_level2;NACE_level2_extra1;NACE_level2_extra2;NACE_level_3;NACE_level_3_extra1;NACE_level3_extra2;justification;confidence_score
TA5.31;Increase reformulation of food products in line with guidelines for healthy and sustainable diets;C - Manufacturing;G - Wholesale and Retail Trade, Repair of Motor Vehicles and Motorcycles;;C10 - Manufacture of food products;G47 - Retail trade, except of motor vehicles and motorcycles;;C10.8 - Manufacture of other food products;G47.1 - Retail sale in non-specialised stores;;The target involves food product reformulation, relevant to manufacturing and retail.;8
TA5.32;Ensuring all access to quality, safe, sustainable, nutritious food.;G - Wholesale and Retail Trade, Repair of Motor Vehicles and Motorcycles;C - Manufacturing;;G47 - Retail trade, except of motor vehicles and motorcycles;C10 - Manufacture of food products;;G47.1 - Retail sale in non-specialised stores;C10.8 - Manufacture of other food products;;The target is about access to quality food, relevant to retail and manufacturing.;8
TA5.33;Move to healthier and more sustainable diets;C - Manufacturing;G - Wholesale and Retail Trade, Repair of Motor Vehicles and Motorcycles;;C10 - Manufacture of food products;G47 - Retail trade, except of motor vehicles and motorcycles;;C10.8 - Manufacture of other food products;G47.1 - Retail sale in non-specialised stores;;The target focuses on diet sustainability, relevant to manufacturing and retail.;8
TA5.34;Reverse prevalence of overweight and diet-related diseases;C - Manufacturing;G - Wholesale and Retail Trade, Repair of Motor Vehicles and Motorcycles;;C10 - Manufacture of food products;G47 - Retail trade, except of motor vehicles and motorcycles;;C10.8 - Manufacture of other food products;G47.1 - Retail sale in non-specialised stores;;The target is about addressing diet-related health issues, relevant to manufacturing and retail.;8
TA5.35;Strengthen the resilience of the EU food system. Build up resilience to possible future diseases and pandemics. Increasing the sustainability of food producers will ultimately increase their resilience.;C - Manufacturing;A - Agriculture, Forestry and Fishing;G - Wholesale and Retail Trade, Repair of Motor Vehicles and Motorcycles;C10 - Manufacture of food products;A1 - Crop and animal production, hunting and related service activities;G47 - Retail trade, except of motor vehicles and motorcycles;C10.8 - Manufacture of other food products;A1.1 - Growing of non-perennial crops;G47.1 - Retail sale in non-specialised stores;The target involves food system resilience, relevant to agriculture, manufacturing, and retail.;9
TA5.36;nan;;;;;;;nan;nan;nan;No content available for analysis.;0
TA5.37;nan;;;;;;;nan;nan;nan;No content available for analysis.;0
TA5.4;Reduce by 50% the use of more hazardous pesticides (target in common with the Biodiversity Strategy and Zero Pollution Action Plan);A - Agriculture, Forestry and Fishing;;;;A1 - Crop and animal production, hunting and related service activities;;;A1.1 - Growing of non-perennial crops;;The target focuses on pesticide reduction in agriculture.;9
TA5.5;Reduce by 50% the use and risk of chemical pesticides (target in common with the Biodiversity Strategy and Zero Pollution Action Plan);A - Agriculture, Forestry and Fishing;;;;A1 - Crop and animal production, hunting and related service activities;;;A1.1 - Growing of non-perennial crops;;The target focuses on pesticide reduction in agriculture.;9
TA5.6;Increase sustainable fishing and aquaculture. Bring fish stocks to sustainable levels. Significant increase in organic aquaculture (target in common with CFP);A3 - Fishing and Aquaculture;;;;A3.1 - Fishing;;;A3.2 - Aquaculture;;The target is about sustainable fishing and aquaculture.;9
TA5.7;Tackle climate change: climate change adaptation and mitigation. Ensure that agriculture, fisheries and aquaculture, and the food value chain contribute to the target of reducing greenhouse gas emissions to at least 55% below 1990 levels by 2030 and to the achievement of the objective for a climate neutral Union in 2050.;A - Agriculture, Forestry and Fishing;A3 - Fishing and Aquaculture;C - Manufacturing;A1 - Crop and animal production, hunting and related service activities;A3.1 - Fishing;C10 - Manufacture of food products;A1.1 - Growing of non-perennial crops;A3.2 - Aquaculture;C10.8 - Manufacture of other food products;The target involves climate change mitigation in agriculture, aquaculture, and manufacturing.;9
TA5.8;Sustainable use of water. Preserving freshwater, boosting water reuse in agriculture.;A - Agriculture, Forestry and Fishing;E - Water Supply, Sewerage, Waste Management and Remediation Activities;;A1 - Crop and animal production, hunting and related service activities;E36 - Water collection, treatment and supply;;A1.1 - Growing of non-perennial crops;E36.0 - Water collection, treatment and supply;;The target focuses on water sustainability in agriculture and water management.;8
TA5.9;Increase organic farming with the aim to achieve at least 25% of total farmland under organic farming by 2030 (target in common with the Biodiversity Strategy 2030);A - Agriculture, Forestry and Fishing;;;;A1 - Crop and animal production, hunting and related service activities;;;A1.1 - Growing of non-perennial crops;;The target is about increasing organic farming, directly related to agriculture.;9
