source_subtheme;impact_subtheme;impact_type;impact_weight ;justification
Renewable Energy - Ocean/Offshore ;Noise Reduction ;+ ; +1 ;The Renewable Energy - Ocean/Offshore subtheme can aid the Noise Reduction subtheme by providing clean energy and reducing emissions, which can aid in achieving the target of reducing noise pollution.
Renewable Energy - Ocean/Offshore ;Social Security - Energy ;+ ; +1 ;The Renewable Energy - Ocean/Offshore subtheme can aid the Social Security - Energy subtheme by providing clean energy and reducing emissions, which can aid in achieving the target of improving energy access.
Renewable Energy - Solar ;Improve Air Quality ;+ ; +3 ;The Renewable Energy - Solar subtheme can positively influence the Improve Air Quality subtheme by providing clean energy and reducing emissions, which can aid in achieving the target of improving air quality.
Renewable Energy - Solar ;Improve Water Quality ;+ ; +2 ;The Renewable Energy - Solar subtheme can reinforce the Improve Water Quality subtheme by providing clean energy and reducing emissions, which can aid in achieving the target of improving water quality.
Renewable Energy - Solar ;Improve Soils Health ;+ ; +1 ;The Renewable Energy - Solar subtheme can enable the Improve Soils Health subtheme by providing clean energy and reducing emissions, which can aid in achieving the target of improving soil health.
Renewable Energy - Solar ;Noise Reduction ;+ ; +1 ;The Renewable Energy - Solar subtheme can aid the Noise Reduction subtheme by providing clean energy and reducing emissions, which can aid in achieving the target of reducing noise pollution.
Renewable Energy - Solar ;Social Security - Energy ;+ ; +1 ;The Renewable Energy - Solar subtheme can aid the Social Security - Energy subtheme by providing clean energy and reducing emissions, which can aid in achieving the target of improving energy access.
Energy Efficiency ;Improve Air Quality ;+ ; +3 ;The Energy Efficiency subtheme can positively influence the Improve Air Quality subtheme by providing clean energy and reducing emissions, which can aid in achieving the target of improving air quality.
Energy Efficiency ;Improve Water Quality ;+ ; +2 ;The Energy Efficiency subtheme can reinforce the Improve Water Quality subtheme by providing clean energy and reducing emissions, which can aid in achieving the target of improving water quality.
Energy Efficiency ;Improve Soils Health ;+ ; +1 ;The Energy Efficiency subtheme can enable the Improve Soils Health subtheme by providing clean energy and reducing emissions, which can aid in achieving the target of improving soil health.
Energy Efficiency ;Noise Reduction ;+ ; +1 ;The Energy Efficiency subtheme can aid the Noise Reduction subtheme by providing clean energy and reducing emissions, which can aid in achieving the target of reducing noise pollution.
Energy Efficiency ;Social Security - Energy ;+ ; +1 ;The Energy Efficiency subtheme can aid the Social Security - Energy subtheme by providing clean energy and reducing emissions, which can aid in achieving the target of improving energy access.
Energy Efficiency - Buildings ;Improve Air Quality ;+ ; +3 ;The Energy Efficiency - Buildings subtheme can positively influence the Improve Air Quality subtheme by providing clean energy and reducing emissions, which can aid in achieving the target of improving air quality.
Energy Efficiency - Buildings ;Improve Water Quality ;+ ; +2 ;The Energy Efficiency - Buildings subtheme can reinforce the Improve Water Quality subtheme by providing clean energy and reducing emissions, which can aid in achieving the target of improving water quality.
Energy Efficiency - Buildings ;Improve Soils Health ;+ ; +1 ;The Energy Efficiency - Buildings subtheme can enable the Improve Soils Health subtheme by providing clean energy and reducing emissions, which can aid in achieving the target of improving soil health.
Energy Efficiency - Buildings ;Noise Reduction ;+ ; +1 ;The Energy Efficiency - Buildings subtheme can aid the Noise Reduction subtheme by providing clean energy and reducing emissions, which can aid in achieving the target of reducing noise pollution.
Energy Efficiency - Buildings ;Social Security - Energy ;+ ; +1 ;The Energy Efficiency - Buildings subtheme can aid the Social Security - Energy subtheme by providing clean energy and reducing emissions, which can aid in achieving the target of improving energy access.
Energy Infrastructure ;Improve Air Quality ;+ ; +3 ;The Energy Infrastructure subtheme can positively influence the Improve Air Quality subtheme by providing clean energy and reducing emissions, which can aid in achieving the target of improving air quality.
Energy Infrastructure ;Improve Water Quality ;+ ; +2 ;The Energy Infrastructure subtheme can reinforce the Improve Water Quality subtheme by providing clean energy and reducing emissions, which can aid in achieving the target of improving water quality.
Energy Infrastructure ;Improve Soils Health ;+ ; +1 ;The Energy Infrastructure subtheme can enable the Improve Soils Health subtheme by providing clean energy and reducing emissions, which can aid in achieving the target
